state_abbr,year,month,date,recall_count,class_I,class_II,class_III
FL,2017,7,2017-07-01,5,0,5,0
FL,2017,8,2017-08-01,26,0,26,0
FL,2017,9,2017-09-01,1,1,0,0
FL,2017,10,2017-10-01,3,3,0,0
FL,2017,12,2017-12-01,2,2,0,0
FL,2018,1,2018-01-01,8,0,8,0
FL,2018,3,2018-03-01,7,7,0,0
FL,2018,4,2018-04-01,1,0,0,1
FL,2018,5,2018-05-01,3,0,2,1
FL,2018,6,2018-06-01,3,0,3,0
FL,2018,7,2018-07-01,4,0,4,0
FL,2018,9,2018-09-01,181,172,9,0
FL,2018,10,2018-10-01,8,0,8,0
FL,2018,11,2018-11-01,8,0,0,8
FL,2019,1,2019-01-01,4,0,4,0
FL,2019,2,2019-02-01,8,4,4,0
FL,2019,3,2019-03-01,2,1,1,0
FL,2019,4,2019-04-01,1,0,1,0
FL,2019,5,2019-05-01,7,5,2,0
FL,2019,6,2019-06-01,3,1,2,0
FL,2019,7,2019-07-01,3,1,1,1
FL,2019,9,2019-09-01,11,1,9,1
FL,2019,10,2019-10-01,3,1,2,0
FL,2019,11,2019-11-01,4,0,4,0
FL,2019,12,2019-12-01,5,2,3,0
FL,2020,1,2020-01-01,1,0,1,0
FL,2020,2,2020-02-01,11,0,9,2
FL,2020,3,2020-03-01,3,1,0,2
FL,2020,4,2020-04-01,1,0,0,1
FL,2020,5,2020-05-01,5,4,1,0
FL,2020,6,2020-06-01,94,1,93,0
FL,2020,8,2020-08-01,1,0,1,0
FL,2020,9,2020-09-01,2,0,2,0
FL,2020,10,2020-10-01,1,1,0,0
FL,2020,11,2020-11-01,3,1,2,0
FL,2020,12,2020-12-01,2,0,2,0
FL,2021,1,2021-01-01,8,0,8,0
FL,2021,2,2021-02-01,6,3,2,1
FL,2021,3,2021-03-01,1,0,1,0
FL,2021,4,2021-04-01,1,0,1,0
FL,2021,6,2021-06-01,2,1,1,0
FL,2021,9,2021-09-01,3,2,1,0
FL,2021,10,2021-10-01,1,1,0,0
FL,2021,11,2021-11-01,12,1,11,0
FL,2021,12,2021-12-01,1,0,1,0
FL,2022,1,2022-01-01,1,0,1,0
FL,2022,2,2022-02-01,5,0,5,0
FL,2022,3,2022-03-01,1,0,1,0
FL,2022,4,2022-04-01,1,1,0,0
FL,2022,5,2022-05-01,8,5,3,0
FL,2022,6,2022-06-01,1,0,1,0
FL,2022,7,2022-07-01,2,1,1,0
FL,2022,8,2022-08-01,3,2,1,0
FL,2022,10,2022-10-01,6,4,2,0
FL,2022,11,2022-11-01,3,1,0,2
FL,2022,12,2022-12-01,2,2,0,0
FL,2023,3,2023-03-01,25,7,18,0
FL,2023,4,2023-04-01,13,8,5,0
FL,2023,5,2023-05-01,3,0,3,0
FL,2023,6,2023-06-01,3,3,0,0
FL,2023,7,2023-07-01,4,0,1,3
FL,2023,8,2023-08-01,3,1,1,1
FL,2023,9,2023-09-01,47,43,0,4
FL,2023,10,2023-10-01,9,3,6,0
FL,2023,11,2023-11-01,2,0,2,0
FL,2023,12,2023-12-01,14,8,6,0
FL,2024,2,2024-02-01,7,3,3,1
FL,2024,3,2024-03-01,12,7,4,1
FL,2024,4,2024-04-01,4,2,2,0
FL,2024,5,2024-05-01,2,1,0,1
FL,2024,6,2024-06-01,2,2,0,0
FL,2024,7,2024-07-01,3,1,2,0
FL,2024,8,2024-08-01,3,1,2,0
FL,2024,9,2024-09-01,5,0,5,0
FL,2024,10,2024-10-01,4,3,1,0
FL,2024,11,2024-11-01,3,1,2,0
